calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 4.000000 0.000000 0.000000 4.000000 0.000000 0.001218 0.000000 0.000000 0.000000 0.000000 
1 0.200000 7.504916 0.000000 0.026803 6.309639 0.060081 -0.000245 4.070240 0.009141 0.001955 7.504916 0.026803 0.000000 0.000000 
1 0.400000 18.008024 0.281585 0.000000 8.620889 0.057506 -0.000245 4.478205 0.029687 0.002692 10.506882 -0.026803 0.000000 0.000000 
1 0.600000 30.015889 0.281585 0.000000 10.932139 0.054563 -0.000245 5.579390 0.062018 0.003429 12.007865 0.000000 0.000000 0.000000 
1 0.800000 36.019822 0.281585 -0.053607 13.236951 -0.044002 0.000858 6.452929 0.082579 0.004166 6.003933 -0.053607 0.000000 0.000000 
2 0.800000 36.019822 0.281585 -0.053607 13.236951 -0.044002 0.000858 6.452929 0.082579 0.004166 0.000000 0.000000 80.000000 10.000000 
3 0.800000 35.902406 -1.310764 -0.103169 13.173915 -0.226394 -0.004829 3.289981 -0.015858 0.001103 0.000000 0.000000 0.000000 0.000000 
1 1.000000 41.874415 -1.929085 -0.210382 15.373993 -0.738535 -0.003446 3.242574 -0.009383 0.001840 6.003933 -0.107213 0.000000 0.000000 
2 1.000000 41.874415 -1.929085 -0.210382 15.373993 -0.738535 -0.003446 3.242574 -0.009383 0.001840 0.000000 0.000000 80.000000 -35.000000 
3 1.000000 41.590404 -2.214188 -0.227040 15.081711 -0.965601 -0.017383 2.995898 -0.023606 0.001011 0.000000 0.000000 0.000000 0.000000 
2 1.000000 41.590404 -2.214188 -0.227040 15.081711 -0.965601 -0.017383 2.995898 -0.023606 0.001011 0.000000 0.000000 80.000000 15.000000 
3 1.000000 41.796511 -1.973773 -0.218661 14.875540 -1.080076 -0.021456 2.890500 -0.027298 0.000882 0.000000 0.000000 0.000000 0.000000 
1 1.200000 52.053212 -4.252952 -0.245464 16.946490 -1.890317 -0.019204 2.562136 -0.018311 0.001619 10.506882 -0.026803 0.000000 0.000000 
2 1.200000 52.053212 -4.252952 -0.245464 16.946490 -1.890317 -0.019204 2.562136 -0.018311 0.001619 0.000000 0.000000 80.000000 -35.000000 
3 1.200000 51.989643 -4.248962 -0.246365 16.809345 -1.923124 -0.024873 2.520268 -0.022727 0.001109 0.000000 0.000000 0.000000 0.000000 
1 1.400000 63.634935 -7.177445 -0.246365 18.846959 -2.788155 -0.021625 2.278841 -0.009809 0.001846 12.007865 0.000000 0.000000 0.000000 
1 1.600000 72.368903 -9.373807 -0.299972 20.854380 -3.610501 -0.016711 2.448527 0.006076 0.002583 9.005899 -0.053607 0.000000 0.000000 
1 1.800000 78.104730 -11.147928 -0.353578 22.830207 -4.412529 -0.011341 2.876029 0.020626 0.003320 6.003933 -0.053607 0.000000 0.000000 
2 1.800000 78.104730 -11.147928 -0.353578 22.830207 -4.412529 -0.011341 2.876029 0.020626 0.003320 0.000000 0.000000 80.000000 35.000000 
3 1.800000 78.581701 -10.683001 -0.307846 22.404699 -4.616315 -0.034575 2.636244 -0.002339 0.001066 0.000000 0.000000 0.000000 0.000000 
1 2.000000 90.025060 -14.321460 -0.307846 24.266265 -5.643482 -0.030695 2.934536 0.009862 0.001803 12.007865 0.000000 0.000000 0.000000 
2 2.000000 90.025060 -14.321460 -0.307846 24.266265 -5.643482 -0.030695 2.934536 0.009862 0.001803 0.000000 0.000000 80.000000 35.000000 
